"ToolName","Folder","OfficialUrl","RiskLevel","LicenseNote","WhenToUse","FixesOrHelpsWith","Notes"
"Ventoy","Boot\Ventoy_ISOs","https://www.ventoy.net/en/download.html","Changes USB","Open source; verify current license.","Build the multi-boot USB.","Boot many ISO files from one USB.","Installing Ventoy formats the USB."
"Windows ADK","Admin","https://learn.microsoft.com/en-us/windows-hardware/get-started/adk-install","Admin install","Microsoft terms apply.","Build WinPE.","Provides deployment tools.","Install on technician PC."
"Windows PE Add-on","Admin","https://learn.microsoft.com/en-us/windows-hardware/manufacture/desktop/download-winpe--windows-pe?view=windows-11","Admin install","Microsoft terms apply.","Build WinPE.","Provides WinPE image.","Install after ADK."
"Windows 11 Installation Media","Boot\Ventoy_ISOs","https://www.microsoft.com/en-us/software-download/windows11","Data-risk if reinstalling","Microsoft software terms apply.","Startup repair, reset, reinstall.","Repairs or reinstalls Windows.","Back up data first."
"Rescuezilla","Boot\Ventoy_ISOs","https://rescuezilla.com/download","Low risk if imaging only","Open source; verify current license.","Image or clone drives before risky repair.","Full disk backup and restore.","Do not save image to failing source drive."
"Clonezilla Live","Boot\Ventoy_ISOs","https://clonezilla.org/downloads/download.php?branch=stable","Data-risk","Open source; verify current license.","Advanced imaging and cloning.","Disk and partition imaging.","Confirm source/destination carefully."
"GParted Live","Boot\Ventoy_ISOs","https://gparted.org/download.php","Data-risk","Open source; verify current license.","Partition editing after backup.","Resize, move, repair layouts.","Partition changes can cause data loss."
"Memtest86+","Boot\Ventoy_ISOs","https://www.memtest.org/","Read-only","Open source; verify current license.","Memory testing outside Windows.","Finds bad RAM causing crashes.","Run multiple passes."
"Microsoft Safety Scanner","Tools\04_Malware_Cleanup","https://learn.microsoft.com/en-us/defender-endpoint/safety-scanner-download","Changes Windows if cleaning","Microsoft terms apply.","Fresh Microsoft malware scan.","Finds and removes malware.","Download fresh."
"Malwarebytes AdwCleaner","Tools\04_Malware_Cleanup","https://www.malwarebytes.com/adwcleaner","Changes Windows if cleaning","Check Malwarebytes terms for shop use.","Adware, PUPs, browser hijacks.","Removes unwanted apps/toolbars.","Review detections."
"ESET Online Scanner","Tools\04_Malware_Cleanup","https://www.eset.com/us/home/online-scanner/","Changes Windows if cleaning","Check ESET terms for shop use.","Second-opinion online scan.","Finds malware when Windows boots.","Needs internet."
"Sysinternals Suite","Tools\05_Windows_Repair","https://learn.microsoft.com/en-us/sysinternals/downloads/sysinternals-suite","Read-only to high depending on tool","Microsoft Sysinternals license applies.","Deep Windows diagnostics.","Autoruns, Process Explorer, ProcMon.","Powerful; document changes."
